TurtleID,Age-class,Injured,Site,retentionTime (Fi),numberOfeventID,SSFI,SSFI group
TW01G0101,Juvenile,FALSE,Lobster,765,34,0.082706767,High
TW01G0099,Juvenile,FALSE,Lobster,765,31,0.075471698,High
TW01G0697,Juvenile,TRUE,Dafu,369,16,0.074981712,High
TW01G0602,Juvenile,FALSE,Dafu,763,30,0.073225295,High
TW01G0595,Subadult,FALSE,Dafu,765,30,0.073047859,High
TW01G0139,Juvenile,FALSE,Dafu,663,26,0.072270402,High
TW01G0499,Juvenile,FALSE,Lobster,663,26,0.072270402,High
TW01G0042,Juvenile,FALSE,Lobster,369,15,0.070347448,High
TW01G0785,Subadult,FALSE,Lobster,74,5,0.069353327,High
TW01G0724,Juvenile,FALSE,Dafu,75,5,0.069084629,High
TW01G0705,Juvenile,FALSE,Dafu,266,11,0.06785195,High
TW01G0226,Subadult,FALSE,Multiple,765,27,0.06573957,High
TW01G0535,Juvenile,FALSE,Dafu,765,27,0.06573957,High
TW01G0758,Adult,FALSE,Lobster,461,17,0.065634163,High
TW01G0534,Juvenile,FALSE,Dafu,90,5,0.064516129,High
TW01G0379,Subadult,FALSE,Lobster,663,23,0.063917756,High
TW01G0027,Subadult,FALSE,Dafu,193,8,0.063421275,High
TW01G0606,Juvenile,FALSE,Dafu,765,26,0.063291139,High
TW01G0165,Subadult,FALSE,Lobster,763,25,0.06098623,High
TW01G0159,Juvenile,FALSE,Lobster,765,25,0.060836502,High
TW01G0085,Subadult,FALSE,Lobster,472,16,0.060445917,High
TW01G0319,Juvenile,FALSE,Multiple,572,19,0.060395244,High
TW01G0737,Juvenile,FALSE,Dafu,103,5,0.060282391,High
TW01G0739,Juvenile,FALSE,Dafu,103,5,0.060282391,High
TW01G0712,Juvenile,FALSE,Dafu,279,10,0.059273423,High
TW01G0532,Subadult,FALSE,Multiple,763,24,0.058519684,High
TW01G0528,Juvenile,TRUE,Multiple,662,21,0.058384633,High
TW01G0513,Subadult,FALSE,Lobster,765,24,0.058375635,High
TW01G0612,Juvenile,FALSE,Dafu,663,21,0.0583025,High
TW01G0548,Subadult,FALSE,Dafu,664,21,0.058220589,High
TW01G0588,Juvenile,FALSE,Lobster,573,18,0.05707606,High
TW01G0516,Juvenile,FALSE,Dafu,295,10,0.056543499,High
TW01G0711,Juvenile,FALSE,Dafu,367,12,0.056420505,High
TW01G0084,Adult,FALSE,Lobster,765,23,0.055908513,High
TW01G0512,Subadult,TRUE,Multiple,765,23,0.055908513,High
TW01G0530,Juvenile,FALSE,Multiple,765,23,0.055908513,High
TW01G0599,Subadult,FALSE,Dafu,765,23,0.055908513,High
TW01G0091,Subadult,FALSE,Lobster,662,20,0.055559114,High
TW01G0026,Juvenile,FALSE,Dafu,571,17,0.054014266,High
TW01G0670,Juvenile,FALSE,Lobster,571,17,0.054014266,High
TW01G0682,Juvenile,FALSE,Dafu,572,17,0.053926652,High
TW01G0551,Juvenile,FALSE,Dafu,573,17,0.05383931,High
TW01G0134,Subadult,FALSE,Lobster,765,22,0.053435115,High
TW01G0517,Subadult,FALSE,Dafu,765,22,0.053435115,High
TW01G0429,Subadult,TRUE,Lobster,278,9,0.053330776,High
TW01G0715,Juvenile,FALSE,Dafu,278,9,0.053330776,High
TW01G0625,Subadult,FALSE,Dafu,663,19,0.052649342,High
TW01G0331,Subadult,FALSE,Dafu,91,4,0.051626324,High
TW01G0520,Juvenile,FALSE,Dafu,91,4,0.051626324,High
TW01G0709,Juvenile,FALSE,Dafu,368,11,0.051441911,High
TW01G0546,Juvenile,FALSE,Dafu,764,21,0.051018705,High
TW01G0082,Adult,FALSE,Lobster,765,21,0.050955414,High
TW01G0322,Juvenile,FALSE,Dafu,765,21,0.050955414,High
TW01G0561,Juvenile,TRUE,Dafu,765,21,0.050955414,High
TW01G0722,Juvenile,TRUE,Dafu,175,6,0.050798258,High
TW01G0621,Juvenile,FALSE,Dafu,295,9,0.050673681,High
TW01G0641,Juvenile,TRUE,Dafu,660,18,0.050021734,High
TW01G0647,Juvenile,TRUE,Lobster,663,18,0.049808429,High
TW01G0254,Subadult,FALSE,Dafu,763,20,0.048590256,High
TW01G0654,Subadult,FALSE,Lobster,763,20,0.048590256,High
TW01G0560,Juvenile,FALSE,Lobster,764,20,0.048529749,High
TW01G0152,Juvenile,FALSE,Dafu,765,20,0.048469388,High
TW01G0735,Juvenile,FALSE,Dafu,102,4,0.048192771,High
TW01G0428,Subadult,FALSE,Lobster,278,8,0.047096407,High
TW01G0258,Juvenile,FALSE,Dafu,661,17,0.047092245,High
TW01G0391,Subadult,FALSE,Lobster,662,17,0.047024978,High
TW01G0166,Juvenile,FALSE,Lobster,664,17,0.046891,High
TW01G0188,Subadult,TRUE,Lobster,194,6,0.04679096,High
TW01G0215,Juvenile,FALSE,Lobster,459,12,0.046089385,High
TW01G0279,Subadult,FALSE,Lobster,765,19,0.045977011,High
TW01G0083,Juvenile,FALSE,Lobster,386,10,0.044572462,High
TW01G0103,Juvenile,FALSE,Lobster,661,16,0.044224302,High
TW01G0109,Subadult,TRUE,Lobster,661,16,0.044224302,High
TW01G0317,Juvenile,FALSE,Dafu,662,16,0.044160909,High
TW01G0675,Juvenile,FALSE,Dafu,572,14,0.044113678,High
TW01G0293,Subadult,FALSE,Dafu,763,18,0.043587253,High
TW01G0209,Juvenile,FALSE,Dafu,765,18,0.043478261,High
TW01G0247,Juvenile,FALSE,Dafu,765,18,0.043478261,High
TW01G0562,Juvenile,FALSE,Dafu,765,18,0.043478261,High
TW01G0725,Juvenile,TRUE,Dafu,174,5,0.041756659,High
TW01G0259,Subadult,FALSE,Dafu,368,9,0.041598372,High
TW01G0311,Juvenile,FALSE,Dafu,561,13,0.041568257,High
TW01G0780,Adult,FALSE,Lobster,176,5,0.041367963,High
TW01G0276,Subadult,FALSE,Lobster,661,15,0.041346556,High
TW01G0275,Juvenile,FALSE,Dafu,662,15,0.041287081,High
TW01G0359,Subadult,TRUE,Lobster,662,15,0.041287081,High
TW01G0105,Juvenile,FALSE,Lobster,664,15,0.041168629,High
TW01G0362,Juvenile,FALSE,Dafu,763,17,0.041076094,High
TW01G0332,Subadult,FALSE,Multiple,764,17,0.04102454,High
TW01G0713,Subadult,FALSE,Dafu,178,5,0.040985494,High
TW01G0227,Juvenile,FALSE,Multiple,765,17,0.040973111,High
TW01G0592,Juvenile,FALSE,Dafu,765,17,0.040973111,High
TW01G0620,Juvenile,FALSE,Dafu,765,17,0.040973111,High
TW01G0515,Subadult,TRUE,Dafu,573,13,0.04074558,High
TW01G0032,Juvenile,FALSE,Dafu,386,9,0.039815364,High
TW01G0285,Subadult,TRUE,Dafu,763,16,0.038558463,High
TW01G0263,Juvenile,FALSE,Dafu,764,16,0.038509941,High
TW01G0544,Juvenile,FALSE,Lobster,192,5,0.038473099,High
TW01G0031,Subadult,FALSE,Dafu,661,14,0.038458956,High
TW01G0549,Juvenile,FALSE,Dafu,661,14,0.038458956,High
TW01G0619,Juvenile,FALSE,Dafu,661,14,0.038458956,High
TW01G0305,Juvenile,FALSE,Dafu,662,14,0.038403441,High
TW01G0320,Juvenile,FALSE,Dafu,662,14,0.038403441,High
TW01G0525,Subadult,TRUE,Lobster,662,14,0.038403441,High
TW01G0255,Subadult,TRUE,Lobster,663,14,0.038348083,High
TW01G0321,Juvenile,FALSE,Dafu,194,5,0.038136426,High
TW01G0607,Juvenile,FALSE,Dafu,562,12,0.038130013,High
TW01G0021,Subadult,FALSE,Multiple,572,12,0.037497132,High
TW01G0441,Juvenile,TRUE,Dafu,573,12,0.037434965,High
TW01G0717,Juvenile,FALSE,Dafu,90,3,0.037383178,High
TW01G0677,Juvenile,FALSE,Dafu,472,10,0.036992367,High
TW01G0772,Subadult,FALSE,Multiple,366,8,0.036781015,High
TW01G0764,Juvenile,TRUE,Lobster,367,8,0.036688469,High
TW01G0769,Subadult,FALSE,Lobster,367,8,0.036688469,High
TW01G0167,Juvenile,FALSE,Lobster,368,8,0.036596367,High
TW01G0545,Juvenile,FALSE,Lobster,368,8,0.036596367,High
TW01G0501,Juvenile,FALSE,Dafu,764,15,0.03598887,High
TW01G0529,Juvenile,FALSE,Multiple,764,15,0.03598887,High
TW01G0597,Subadult,FALSE,Dafu,764,15,0.03598887,High
TW01G0318,Juvenile,FALSE,Dafu,765,15,0.035943517,High
TW01G0360,Juvenile,FALSE,Dafu,765,15,0.035943517,High
TW01G0593,Juvenile,FALSE,Dafu,765,15,0.035943517,High
TW01G0600,Juvenile,FALSE,Dafu,765,15,0.035943517,High
TW01G0650,Juvenile,FALSE,Lobster,765,15,0.035943517,High
TW01G0761,Juvenile,FALSE,Lobster,264,6,0.035908108,High
TW01G0264,Juvenile,FALSE,Dafu,661,13,0.035561454,High
TW01G0590,Subadult,FALSE,Dafu,661,13,0.035561454,High
TW01G0029,Juvenile,FALSE,Dafu,662,13,0.035509941,High
TW01G0328,Juvenile,FALSE,Dafu,663,13,0.035458575,High
TW01G0477,Subadult,FALSE,Lobster,663,13,0.035458575,High
TW01G0361,Juvenile,FALSE,Dafu,560,11,0.034863813,High
TW01G0145,Juvenile,FALSE,Lobster,562,11,0.034745621,High
TW01G0478,Juvenile,FALSE,Dafu,101,3,0.034438667,High
TW01G0743,Juvenile,FALSE,Dafu,101,3,0.034438667,High
TW01G0685,Juvenile,FALSE,Dafu,571,11,0.034223278,High
TW01G0230,Subadult,FALSE,Dafu,572,11,0.034166184,High
TW01G0594,Juvenile,FALSE,Dafu,103,3,0.033940193,High
TW01G0719,Juvenile,FALSE,Dafu,104,3,0.033695124,High
TW01G0604,Juvenile,FALSE,Dafu,763,14,0.033503683,High
TW01G0242,Juvenile,FALSE,Dafu,764,14,0.033461301,High
TW01G0308,Subadult,FALSE,Lobster,765,14,0.033419023,High
TW01G0097,Juvenile,FALSE,Lobster,587,11,0.033331535,High
TW01G0626,Juvenile,FALSE,Dafu,662,12,0.03260653,High
TW01G0382,Juvenile,FALSE,Lobster,663,12,0.032559199,High
TW01G0651,Juvenile,FALSE,Lobster,663,12,0.032559199,High
TW01G0738,Juvenile,FALSE,Dafu,175,4,0.031895504,High
TW01G0716,Juvenile,FALSE,Dafu,367,7,0.031619986,High
TW01G0126,Adult,FALSE,Multiple,177,4,0.031584582,High
TW01G0695,Juvenile,FALSE,Dafu,368,7,0.031539703,High
TW01G0638,Juvenile,FALSE,Dafu,560,10,0.03145233,High
TW01G0683,Juvenile,FALSE,Dafu,570,10,0.03092364,High
TW01G0147,Juvenile,FALSE,Dafu,765,13,0.030888031,High
TW01G0514,Adult,TRUE,Lobster,765,13,0.030888031,High
TW01G0598,Subadult,FALSE,Dafu,765,13,0.030888031,High
TW01G0161,Juvenile,FALSE,Lobster,571,10,0.030871725,High
TW01G0667,Juvenile,FALSE,Lobster,572,10,0.03081998,High
TW01G0686,Juvenile,FALSE,Dafu,573,10,0.030768405,High
TW01G0648,Juvenile,FALSE,Lobster,386,7,0.030158999,High
TW01G0624,Juvenile,FALSE,Dafu,661,11,0.029736533,High
TW01G0022,Juvenile,FALSE,Multiple,662,11,0.029693156,High
TW01G0024,Subadult,FALSE,Multiple,192,4,0.029418524,High
TW01G0282,Juvenile,FALSE,Dafu,471,8,0.029023398,High
TW01G0699,Juvenile,FALSE,Dafu,267,5,0.028729371,High
TW01G0426,Juvenile,FALSE,Lobster,268,5,0.028630949,High
TW01G0759,Juvenile,FALSE,Lobster,268,5,0.028630949,High
TW01G0298,Juvenile,FALSE,Dafu,763,12,0.028422714,High
TW01G0104,Subadult,FALSE,Lobster,764,12,0.028386569,High
TW01G0377,Juvenile,FALSE,Lobster,765,12,0.028350515,High
TW01G0280,Adult,FALSE,Dafu,487,8,0.028112682,High
TW01G0531,Juvenile,FALSE,Dafu,489,8,0.028002749,High
TW01G0766,Juvenile,FALSE,Lobster,279,5,0.027589276,High
TW01G0673,Juvenile,FALSE,Lobster,571,9,0.027504734,High
TW01G0691,Juvenile,FALSE,Dafu,358,6,0.027123472,High
TW01G0245,Juvenile,FALSE,Dafu,659,10,0.026887838,High
TW01G0019,Juvenile,FALSE,Multiple,660,10,0.026848368,High
TW01G0567,Juvenile,FALSE,Lobster,662,10,0.026769768,High
TW01G0710,Juvenile,FALSE,Dafu,366,6,0.026563895,High
TW01G0102,Juvenile,FALSE,Lobster,367,6,0.026495517,High
TW01G0341,Juvenile,FALSE,Lobster,369,6,0.026359779,High
TW01G0680,Juvenile,FALSE,Dafu,295,5,0.02619748,High
TW01G0378,Juvenile,FALSE,Lobster,762,11,0.025905415,High
TW01G0649,Juvenile,FALSE,Lobster,762,11,0.025905415,High
TW01G0425,Juvenile,FALSE,Lobster,765,11,0.025806452,High
TW01G0323,Juvenile,FALSE,Dafu,303,5,0.025551023,High
TW01G0627,Subadult,TRUE,Dafu,384,6,0.025383227,High
TW01G0681,Juvenile,FALSE,Dafu,570,8,0.024163147,High
TW01G0658,Juvenile,FALSE,Lobster,488,7,0.024125174,High
TW01G0666,Juvenile,FALSE,Lobster,571,8,0.024122198,High
TW01G0539,Juvenile,FALSE,Lobster,661,9,0.02387138,High
TW01G0556,Juvenile,FALSE,Dafu,661,9,0.02387138,High
TW01G0655,Juvenile,FALSE,Lobster,661,9,0.02387138,High
TW01G0519,Juvenile,FALSE,Multiple,662,9,0.023836314,High
TW01G0408,Subadult,FALSE,Lobster,663,9,0.02380135,High
TW01G0653,Subadult,FALSE,Lobster,664,9,0.023766487,High
TW01G0786,Juvenile,FALSE,Lobster,74,2,0.023714148,High
TW01G0030,Juvenile,FALSE,Multiple,266,4,0.02184775,High
TW01G0688,Juvenile,FALSE,Dafu,359,5,0.021767305,High
TW01G0476,Subadult,FALSE,Lobster,176,3,0.02165754,High
TW01G0770,Juvenile,FALSE,Lobster,176,3,0.02165754,High
TW01G0507,Juvenile,FALSE,Lobster,366,5,0.021369767,High
TW01G0760,Subadult,FALSE,Lobster,367,5,0.021314129,High
TW01G0287,Adult,FALSE,Lobster,368,5,0.021258774,High
TW01G0693,Subadult,FALSE,Dafu,368,5,0.021258774,High
TW01G0765,Subadult,FALSE,Lobster,277,4,0.021031585,Low
TW01G0768,Subadult,FALSE,Lobster,277,4,0.021031585,Low
TW01G0669,Subadult,FALSE,Lobster,468,6,0.021000767,Low
TW01G0124,Juvenile,FALSE,Dafu,662,8,0.020892743,Low
TW01G0611,Juvenile,FALSE,Dafu,662,8,0.020892743,Low
TW01G0773,Subadult,TRUE,Lobster,279,4,0.020889488,Low
TW01G0257,Juvenile,FALSE,Dafu,663,8,0.02086199,Low
TW01G0596,Juvenile,FALSE,Dafu,764,9,0.020725107,Low
TW01G0381,Juvenile,FALSE,Dafu,571,7,0.02072401,Low
TW01G0640,Juvenile,FALSE,Dafu,382,5,0.02051227,Low
TW01G0771,Subadult,FALSE,Lobster,89,2,0.020492747,Low
TW01G0659,Juvenile,FALSE,Lobster,486,6,0.020248228,Low
TW01G0783,Subadult,FALSE,Lobster,91,2,0.02011939,Low
TW01G0704,Juvenile,FALSE,Dafu,192,3,0.020003125,Low
TW01G0694,Juvenile,FALSE,Dafu,92,2,0.019937155,Low
TW01G0306,Adult,FALSE,Lobster,295,4,0.019816391,Low
TW01G0671,Juvenile,FALSE,Lobster,203,3,0.018999041,Low
TW01G0734,Juvenile,FALSE,Dafu,99,2,0.018739353,Low
